Time,Channel 0,Sensor
0.000833333,4057,568
0.0025,4049,564
0.004166667,4057,565
0.005833333,4059,568
0.0075,4059,572
0.009166667,4060,569
0.010833333,4058,568
0.0125,4058,566
0.014166667,4059,570
0.015833333,4060,572
0.0175,4059,571
0.019166667,4059,568
0.020833333,4058,564
0.0225,4059,569
0.024166667,4058,571
0.025833333,4058,570
0.0275,4058,568
0.029166667,4058,569
0.030833333,4059,570
0.0325,4059,571
0.034166667,4058,568
0.035833333,4058,567
0.0375,4058,564
0.039166667,4059,569
0.040833333,4058,572
0.0425,4058,568
0.044166667,4058,568
0.045833333,4060,569
0.0475,4059,568
0.049166667,4058,567
0.050833333,4058,571
0.0525,4059,565
0.054166667,4058,567
0.055833333,4058,567
0.0575,4058,570
0.059166667,4059,569
0.060833333,4059,571
0.0625,4059,567
0.064166667,4059,569
0.065833333,4058,571
0.0675,4058,570
0.069166667,4059,567
0.070833333,4059,568
0.0725,4058,566
0.074166667,4058,569
0.075833333,4059,570
0.0775,4058,567
0.079166667,4057,564
0.080833333,4058,566
0.0825,4058,571
0.084166667,4059,573
0.085833333,4058,567
0.0875,4058,567
0.089166667,4059,569
0.090833333,4059,572
0.0925,4058,569
0.094166667,4058,566
0.095833333,4058,569
0.0975,4058,569
0.099166667,4058,570
0.100833333,4058,570
0.1025,4059,568
0.104166667,4060,562
0.105833333,4058,568
0.1075,4058,568
0.109166667,4058,571
0.110833333,4059,567
0.1125,4059,565
0.114166667,4058,566
0.115833333,4059,573
0.1175,4059,570
0.119166667,4058,567
0.120833333,4059,568
0.1225,4058,568
0.124166667,4057,573
0.125833333,4058,572
0.1275,4058,566
0.129166667,4058,564
0.130833333,4059,567
0.1325,4058,572
0.134166667,4058,571
0.135833333,4059,563
0.1375,4058,570
0.139166667,4058,565
0.140833333,4059,569
0.1425,4058,571
0.144166667,4058,567
0.145833333,4058,566
0.1475,4058,565
0.149166667,4058,571
0.150833333,4059,568
0.1525,4058,566
0.154166667,4059,568
0.155833333,4058,565
0.1575,4058,571
0.159166667,4059,570
0.160833333,4058,566
0.1625,4059,567
0.164166667,4058,567
0.165833333,4058,572
0.1675,4058,572
0.169166667,4058,568
0.170833333,4057,566
0.1725,4058,570
0.174166667,4058,572
0.175833333,4059,568
0.1775,4058,566
0.179166667,4058,566
0.180833333,4057,566
0.1825,4059,571
0.184166667,4058,571
0.185833333,4059,568
0.1875,4059,567
0.189166667,4060,569
0.190833333,4059,573
0.1925,4058,570
0.194166667,4058,569
0.195833333,4058,565
0.1975,4058,568
0.199166667,4058,572
0.200833333,4058,570
0.2025,4059,569
0.204166667,4058,564
0.205833333,4058,567
0.2075,4058,572
0.209166667,4057,571
0.210833333,4059,568
0.2125,4058,566
0.214166667,4058,567
0.215833333,4058,570
0.2175,4058,570
0.219166667,4059,569
0.220833333,4058,562
0.2225,4058,570
0.224166667,4058,572
0.225833333,4058,571
0.2275,4059,569
0.229166667,4058,566
0.230833333,4058,568
0.2325,4058,568
0.234166667,4058,571
0.235833333,4058,569
0.2375,4059,568
0.239166667,4059,570
0.240833333,4058,570
0.2425,4059,573
0.244166667,4058,568
0.245833333,4058,566
0.2475,4058,569
0.249166667,4058,572
0.250833333,4059,571
0.2525,4059,569
0.254166667,4059,568
0.255833333,4057,567
0.2575,4058,572
0.259166667,4058,567
0.260833333,4058,566
0.2625,4058,568
0.264166667,4058,565
0.265833333,4058,569
0.2675,4058,567
0.269166667,4058,568
0.270833333,4059,567
0.2725,4058,568
0.274166667,4058,572
0.275833333,4058,572
0.2775,4058,563
0.279166667,4057,563
0.280833333,4058,566
0.2825,4059,570
0.284166667,4058,571
0.285833333,4058,568
0.2875,4059,568
0.289166667,4057,569
0.290833333,4058,571
0.2925,4058,571
0.294166667,4059,567
0.295833333,4059,566
0.2975,4058,569
0.299166667,4059,570
0.300833333,4058,575
0.3025,4059,567
0.304166667,4057,567
0.305833333,4059,570
0.3075,4058,570
0.309166667,4058,570
0.310833333,4058,568
0.3125,4058,565
0.314166667,4059,569
0.315833333,4059,571
0.3175,4058,573
0.319166667,4058,567
0.320833333,4058,568
0.3225,4059,567
0.324166667,4059,572
0.325833333,4058,572
0.3275,4059,568
0.329166667,4058,568
0.330833333,4058,567
0.3325,4059,572
0.334166667,4058,571
0.335833333,4058,568
0.3375,4058,567
0.339166667,4059,571
0.340833333,4059,573
0.3425,4058,567
